Catalog #,Accession #,Class 1,Kingdom,Phylum/Division,Class,Order,Family,Sci. Name:Genus,Sci. Name:Species,Common Name,TSN,Item Count,Quantity,Storage Unit,Description,Dimens/Weight,Collector,Collection #,Collection Date,Condition,Condition Desc,Study #,Other Numbers,Cataloger,Catalog Date,Identified By,Ident Date,Repro Method,Locality,Unit,State,Reference Datum,Watrbody/Drain:Waterbody,Watrbody/Drain:Drainage,UTM Z/E/N,Lat LongN/W,Elevation,Depth,Depos Environ,Habitat/Comm,Habitat,Slope,Aspect,Soil Type,For/Per/Sub,Assoc Spec,Type Specimen,Threat/Endang,T/E Date,Rare,Exotic/Native,Age,Sex,Notes,Field Season,Ctrl Prop,Location,Object Status,Status Date,Catalog Folder,Maint. Cycle
KATM   35955,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Poaceae,Festuca,brachyphylla,"","",1,"",EA,Festuca brachyphylla  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-31,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60376 ALAAC=V143132,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35955,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Poaceae,Festuca,brachyphylla,"","",1,"",EA,Festuca brachyphylla  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-31,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60376 ALAAC=V143132,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35956,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Asterales; Asterales,Asteraceae; Asteraceae,Solidago; Solidago,Solidago multiradiata; Solidago multiradiata,"","",1,"",EA,Solidago multiradiata  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-32,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60377 ALAAC=V143133,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35956,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Asterales; Asterales,Asteraceae; Asteraceae,Solidago; Solidago,Solidago multiradiata; Solidago multiradiata,"","",1,"",EA,Solidago multiradiata  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-32,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60377 ALAAC=V143133,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35956,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Asterales; Asterales,Asteraceae; Asteraceae,Solidago; Solidago,Solidago multiradiata; Solidago multiradiata,"","",1,"",EA,Solidago multiradiata  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-32,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60377 ALAAC=V143133,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35957,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Lamiales; Lamiales,Lentibulariaceae; Lentibulariaceae,Pinguicula; Pinguicula,Pinguicula vulgaris; Pinguicula vulgaris,"","",1,"",EA,Pinguicula vulgaris  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-33,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60378 ALAAC=V143134,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35957,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Lamiales; Lamiales,Lentibulariaceae; Lentibulariaceae,Pinguicula; Pinguicula,Pinguicula vulgaris; Pinguicula vulgaris,"","",1,"",EA,Pinguicula vulgaris  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-33,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60378 ALAAC=V143134,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35957,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Lamiales; Lamiales,Lentibulariaceae; Lentibulariaceae,Pinguicula; Pinguicula,Pinguicula vulgaris; Pinguicula vulgaris,"","",1,"",EA,Pinguicula vulgaris  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-33,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60378 ALAAC=V143134,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.62/W153.77,610 m,"","","","herbaceous dwarf shrub tundra patches with open scree rubble, 135¿ azimuth, 12¿ slope, 85% vegetation cover, dry/moist talus and scree, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35958,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Saxifragales,Crassulaceae,Rhodiola,integrifolia,"","",1,"",EA,Rhodiola integrifolia  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-38,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60379 ALAAC=V143135,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.78,762 m,"","","","dwarf shrub tundra, 90¿ azimuth, 15¿ slope, moist/dry soil, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35958,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Saxifragales,Crassulaceae,Rhodiola,integrifolia,"","",1,"",EA,Rhodiola integrifolia  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-38,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60379 ALAAC=V143135,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.78,762 m,"","","","dwarf shrub tundra, 90¿ azimuth, 15¿ slope, moist/dry soil, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35958,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Saxifragales,Crassulaceae,Rhodiola,integrifolia,"","",1,"",EA,Rhodiola integrifolia  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-38,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60379 ALAAC=V143135,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.78,762 m,"","","","dwarf shrub tundra, 90¿ azimuth, 15¿ slope, moist/dry soil, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35959,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Saxifragales,Saxifragaceae,Micranthes,nelsoniana,"","",1,"",EA,Saxifraga nelsoniana  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-46,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60380 ALAAC=V143136,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, top of talus knob on peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.79,300 m,"","","","180¿ azimuth, 30¿ slope, 10% vegetation cover, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35959,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Saxifragales,Saxifragaceae,Micranthes,nelsoniana,"","",1,"",EA,Saxifraga nelsoniana  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-46,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60380 ALAAC=V143136,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, top of talus knob on peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.79,300 m,"","","","180¿ azimuth, 30¿ slope, 10% vegetation cover, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35959,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Saxifragales,Saxifragaceae,Micranthes,nelsoniana,"","",1,"",EA,Saxifraga nelsoniana  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-46,2002-07-04,COM/GD,"","",Arctos=UAM:Herb:60380 ALAAC=V143136,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, top of talus knob on peak 2750' N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.79,300 m,"","","","180¿ azimuth, 30¿ slope, 10% vegetation cover, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35960,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Apiales,Apiaceae,Heracleum,lanatum,"","",1,"",EA,Heracleum lanatum  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-53,2002-07-05,COM/GD,"","",Arctos=UAM:Herb:60381 ALAAC=V143137,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, .5 km E of cabin","",AK,WGS 84,"","","",N58.6/W153.76,8 m,"","","","forb graminoid meadow, 100% vegetation cover, moist sandy soil over gravel, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35960,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Apiales,Apiaceae,Heracleum,lanatum,"","",1,"",EA,Heracleum lanatum  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-53,2002-07-05,COM/GD,"","",Arctos=UAM:Herb:60381 ALAAC=V143137,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, .5 km E of cabin","",AK,WGS 84,"","","",N58.6/W153.76,8 m,"","","","forb graminoid meadow, 100% vegetation cover, moist sandy soil over gravel, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35960,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Apiales,Apiaceae,Heracleum,lanatum,"","",1,"",EA,Heracleum lanatum  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-53,2002-07-05,COM/GD,"","",Arctos=UAM:Herb:60381 ALAAC=V143137,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, .5 km E of cabin","",AK,WGS 84,"","","",N58.6/W153.76,8 m,"","","","forb graminoid meadow, 100% vegetation cover, moist sandy soil over gravel, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35961,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,pluriflora,"","",1,"",EA,Carex pluriflora  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-59,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60382 ALAAC=V143138,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","low shrub graminoid forb meadow and fen, 100% vegetation cover, subhygric peaty soil with thick Sphagnum layer, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35961,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,pluriflora,"","",1,"",EA,Carex pluriflora  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-59,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60382 ALAAC=V143138,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","low shrub graminoid forb meadow and fen, 100% vegetation cover, subhygric peaty soil with thick Sphagnum layer, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35961,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,pluriflora,"","",1,"",EA,Carex pluriflora  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-59,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60382 ALAAC=V143138,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","low shrub graminoid forb meadow and fen, 100% vegetation cover, subhygric peaty soil with thick Sphagnum layer, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35962,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Solidago,lepida,"","",1,"",EA,Solidago lepida  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-66,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60383 ALAAC=V143139,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","forb graminoid meadow, 100% vegetation cover, mesic soil, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35962,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Solidago,lepida,"","",1,"",EA,Solidago lepida  vascular plant specimens mounted on herbarium sheet,"","; ; Carlson, Matthew",02-66,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60383 ALAAC=V143139,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","forb graminoid meadow, 100% vegetation cover, mesic soil, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35962,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Solidago,lepida,"","",1,"",EA,Solidago lepida  vascular plant specimens mounted on herbarium sheet,"","; Lipkin, Rob",02-66,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60383 ALAAC=V143139,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","forb graminoid meadow, 100% vegetation cover, mesic soil, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35963,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Rosales; Rosales,Rosaceae; Rosaceae,Aruncus; Aruncus,Aruncus sylvester; Aruncus dioicus,"","",1,"",EA,Aruncus sylvester  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-74,2002-07-06,COM/GD,"","",Arctos=UAM:Herb:60384 ALAAC=V143140,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon","",AK,WGS 84,"","","",N58.63/W153.59,65 m,"","","","forb graminoid meadow, 135¿ azimuth, 25-35¿ slope, 100% vegetation cover, moist soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
