Catalog #|Accession #|Class 1|Kingdom|Phylum/Division|Class|Order|Family|Sci. Name:Genus|Sci. Name:Species|Common Name|Item Count|Quantity|Storage Unit|Description|Dimens/Weight|Collector|Collection #|Collection Date|Condition|Condition Desc|Study #|Other Numbers|Cataloger|Catalog Date|Identified By|Ident Date|Repro Method|Locality|Unit|State|Reference Datum|Watrbody/Drain:Waterbody|Watrbody/Drain:Drainage|UTM Z/E/N|Lat LongN/W|Elevation|Depth|Depos Environ|Habitat/Comm|Habitat|Slope|Aspect|Soil Type|For/Per/Sub|Assoc Spec|Type Specimen|Threat/Endang|T/E Date|Rare|Exotic/Native|Age|Sex|Ctrl Prop|Location|Object Status|Status Date
KATM   35963|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Aruncus|dioicus|brides feathers'|1|0|EA|Aruncus dioicus var. vulgaris vascular plant specimens mounted on herbarium sheet; originally called Aruncus sylvester but that synonym is not accepted by ITIS or ICMS||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-074|7/6/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60384; ALAAC # V143140; Photo # AJ 1-27|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 27||||58.63N/153.59W __58 __38.344 __ __153 __35.9177|213||||forb graminoid meadow; 135 degrees azimuth; 25-35 degrees slope; 100% vegetation cover; moist soil; rare|||||Heracleum lanatum, Calamagrostis canadensis ssp. langsdorffii, Geranium erianthum, Carex macrochaeta||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35964|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Festuca|brachyphylla|alpine fescue|1|0|EA|Festuca brachyphylla  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-077 B|7/6/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60385; ALAAC # V143141|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 27||||58.64N/153.61W __58 __38.8134 __ __153 __36.66|366||||less than 2% vegetation cover; dry sandy soil|||||Lagotis glauca, Equisetum arvense, Oxytropis varians, Festuca brachyphylla, Achillea borealis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35965|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Eurybia|sibirica|arctic aster --Siberian aster|1|0|EA|Eurybia sibirica vascular plant specimens mounted on herbarium sheet; originally called Aster sibiricus but that synonym not accepted by ITIS or ICMS||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-086|7/6/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60386; ALAAC # V143142; Photo # AJ 1-32|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 27||||58.64N/153.61W __58 __38.8355 __ __153 __36.8244|396||||175 degrees azimuth; 35 degrees slope; sparsely vegetated; sandstone rubble; rare|||||Oxytropis bryophila, Luzula spp., Silene acaulis, Arabis kamchatica, Potentilla villosa, Senecio lugens||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35966|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Festuca|rubra|red fescue|1|0|EA|Festuca rubra rubra vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-089 B|7/1/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60387; ALAAC # V143143|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 28||||58.64N/153.61W __58 __38.904 __ __153 __36.8199|458||||dry sandy soil and scree|||||Polemonium boreale, Festuca rubra, Oxytropis bryophila||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35967|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Elymus|trachycaulus|slender wheatgrass --slender wild rye|1|0|EA|Elymus trachycaulus  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-089 C|7/1/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60388; ALAAC # V143144|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 29||||58.64N/153.61W __58 __38.904 __ __153 __36.8199|458||||dry sandy soil and scree|||||Polemonium boreale, Festuca rubra, Oxytropis bryophila||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35968|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Festuca|rubra|red fescue|1|0|EA|Festuca rubra ssp. arctica vascular plant specimens mounted on herbarium sheet; originally called Festuca richardsonii but this synonym is not accepted by ITIS or ICMS||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-089|7/6/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60389; ALAAC # V143145; Photo # AJ 1-31, 34|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, cape and headland N of Swikshak Lagoon|KATM|AK|NAD 27||||58.64N/153.61W __58 __38.9037 __ __153 __36.8199|457||||dry sandy soil and scree; scattered|||||Polemonium boreale, Festuca rubra, Oxytropis bryophila||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35969|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Juncaceae|Juncus|alpinoarticulatus|northern green rush|1|0|EA|Juncus alpinoarticulatus  vascular plant specimens mounted on herbarium sheet||Lipkin, Rob; Pearse, Ian|02-103|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60390; ALAAC # V143146; Photo # IP 2-9,10|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, E end of spit|KATM|AK|NAD 27||||58.61N/153.68W __58 __36.7758 __ __153 __41.2986|8||||Nuphar pond and marsh; mud and standing water up to 20 cm; patchy; caespitose|||||Carex rostrata||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35970|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Agrostis|exarata|spike bentgrass|1|0|EA|Agrostis exarata  vascular plant specimens mounted on herbarium sheet; was Agrostis alaskana||Lipkin, Rob; Pearse, Ian|02-106|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60391; ALAAC # V143147; Photo # IP 2-9,10|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, E end of spit|KATM|AK|NAD 27||||58.61N/153.68W __58 __36.7758 __ __153 __41.2986|8||||Nuphar pond and marsh; wet mud; scattered/patchy; loosely tufted|||||Carex canescens, Comarum palustre, Eriophorum russeolum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35972|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Cardamine|umbellata|umbel bittercress|1|0|EA|Cardamine umbellata  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew|02-121|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60393; ALAAC # V143149; Photo # AJ 1-37|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, hill N of Swikshak Lagoon|KATM|AK|NAD 27||||58.61N/153.77W __58 __37.0091 __ __153 __46.2093|244||||meadow near small stream with scattered alder; 180 degrees azimuth; 5-10 degrees slope; moist soil; rare|||||Calamagrostis canadensis, Sambucus racemosa, Heracleum lanatum, Alnus spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35973|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Pyrola|minor|snowline wintergreen --lesser wintergreen|1|0|EA|Pyrola minor  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew|02-130|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60394; ALAAC # V143150; Photo # AJ 2-1|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, hill N of Swikshak Lagoon|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.3853 __ __153 __46.7732|366||||margin of Sphagnum fen; 180 degrees azimuth; 10 degrees slope; rare|||||Sphagnum spp., Calamagrostis canadensis, Salix pulchra, Veratrum viride, Athyrium filix-femina, Epilobium angustifolium, Alnus spp.||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35974|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Woodsiaceae|Cystopteris|fragilis|fragile fern --brittle bladder fern --brittle bladderfern|1|0|EA|Cystopteris fragilis  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew|02-132|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60395; ALAAC # V143151; Photo # AJ 2-3,5|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.78W __58 __37.4446 __ __153 __46.9196|457||||315 degrees azimuth; 25 degrees slope; 5% vegetation cover; rock crevices; scattered|||||Saxifraga oppositifolia, S. bronchialis, Minuartia obtusiloba, Rhodiola integrifolia, Festuca rubra, Artemisia arctica, Silene acaulis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35975|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|scirpoidea|Canadian single-spike sedge --downy sedge --northern singlespike sedge|1|0|EA|Carex scirpoidea  vascular plant specimens mounted on herbarium sheet male spikes||Jansen, Anna; Carlson, Matthew|02-136|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60396; ALAAC # V143152; Photo # AJ 2-3,5|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.78W __58 __37.4446 __ __153 __46.9196|457||||ericaceous low shrub tundra adjacent to talus slope; 315 degrees azimuth; 25 degrees slope; 5% vegetation cover; mesic soil; scattered, loosely tufted|||||Empetrum nigrum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35976|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|rupestris|rock sedge --curly sedge|1|0|EA|Carex rupestris  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew|02-137|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60397; ALAAC # V143153; Photo # AJ 2-3,5|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.78W __58 __37.4446 __ __153 __46.9196|457||||315 degrees azimuth; 25 degrees slope; 5% vegetation cover; dry soil; scattered|||||Saxifraga oppositifolia, S. bronchialis, Minuartia obtusiloba, Rhodiola integrifolia, Festuca rubra, Artemisia arctica, Silene acaulis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35977|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Poa|glauca|glaucous bluegrass --white bluegrass|1|0|EA|Poa glauca  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew|02-139|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60398; ALAAC # V143154; Photo # AJ 2-3,5|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.78W __58 __37.4446 __ __153 __46.9196|457||||315 degrees azimuth; 25 degrees slope; 5% vegetation cover; rock cracks; scattered|||||Saxifraga oppositifolia, S. bronchialis, Minuartia obtusiloba, Rhodiola integrifolia, Festuca rubra, Artemisia arctica, Silene acaulis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35978|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Antennaria|alpina|alpine pussytoes|1|0|EA|Antennaria alpina  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew|02-141|7/8/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60399; ALAAC # V143155; Photo # AJ 2-3,5|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.78W __58 __37.4446 __ __153 __46.9196|457||||315 degrees azimuth; 25 degrees slope; 5% vegetation cover; dry soil; rare|||||Saxifraga oppositifolia, S. bronchialis, Minuartia obtusiloba, Rhodiola integrifolia, Festuca rubra, Artemisia arctica, Silene acaulis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   35979|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|wormskjoldii|American alpine speedwell|1|0|EA|Veronica wormskjoldii  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Carlson, Matthew; Pearse, Ian|02-153|7/14/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60400; ALAAC # V143156; Photo # AJ 2-8|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Iliamna; Katmai National Park; Alaska Peninsula, Mirror Lake, headwaters of Funnel Cr., 250 m from Mirror Lake|KATM|AK|NAD 27||||59.24N/154.78W __59 __14.5586 __ __154 __47.1073|396||||low shrub tundra with herbaceous sedge stream margin; 0 degrees azimuth; 5-10 degrees slope; 100% vegetation cover; moist humus/rocky soil; rare|||||Salix alaxensis, Carex microchaeta, Caltha leptosepala, Leptarrhena pyrifolia||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
